text,user_location,user_description,user_created,user_followers,user_favourites,date
"So it seems that we can easily reprogram #chatGPT's biases to insert our own evil plans into its proto-humanic mind. Eg, like, how do we get the AI to destroy humanity. Lots of fun.

What could be worse? Well,... https //t.co/387R4Zi7Rm",Eurolandia,"fighting for the user, issuing her assets since 1995.
Assets are soft, users are hard.  The issue isn't the asset, the asset is you.",2014-04-14 08:40:40+00:00,8517.0,14421,2022-12-08 21:36:29+00:00
"Google invests in a #ChatGPT rival. - https //t.co/jmvbFep1A0

The fight is on","Boston, MA","Chief of Staff: Appfire. Strategic advisor, investor, author - https://t.co/Z6VkUDZV2L Contact: chris@chrisbrogan.com / 🏳️‍⚧️-ally/LGBTQ",2006-10-24 03:32:27+00:00,316823.0,36095,2023-02-04 14:10:08+00:00
"My number one take away from this #automation and #AI push since November release of #ChatGPT  

Most have no clue what they're doing and think that ""move fast, and adapt"" means disrupt.",Capital One Arena Sec 105,"DC Natives do exist. Founder and COO @CapitolPresence |
Software Engineer and solver of problems |
 #WorkWherever | Tweets are someone else's, probably.",2012-05-16 21:44:16+00:00,923.0,8929,2023-03-15 18:42:13+00:00
"#100DaysOfCode returning from a hiatus today. I'm not sure if it will be possible, but I might take a side quest into #ChatGPT. I will document the process if I do. If not, I have lots of Python to catch up on 😜","Boston, MA","(He/They)
Art school→IT→Programming
""Have you tried turning it off and on again?""
-Created for #100daysofcode
- Coding Bootcamp (#springboard)",2022-07-27 21:14:42+00:00,32.0,340,2022-12-21 15:05:19+00:00
Is there anything to prevent ChatGPT from violating copyrights? #ChatGPT,Baltimore,"Cybersecurity, Hackers, Technology, FISMA, FedRAMP, Cloud Computing",2015-06-27 22:00:33+00:00,201.0,405,2023-02-15 23:41:05+00:00
"The disease is creeping, mindless bureaucracy. #ChatGPT is, in my view, a cure that will be worse than the disease. Technological bloodletting.","New Jersey, USA",Writer • Faculty @saintpetersuniv • Words in @thebrooklynrail @outpost19 @100word_story @shortstorymag @EunoiaReview,2022-12-12 20:54:38+00:00,226.0,1716,2023-02-23 18:32:29+00:00
"#ChatGpt preview a drop in the stock market tuesday 15th feb! 👀 
He must have realised I closed my short on friday!",Emirati Arabi Uniti,GM @axltoken Nothing I tweet is a financial advise,2021-04-21 22:51:14+00:00,686.0,1311,2023-02-11 13:26:40+00:00
Helpful answer from #chatGPT but the blackbox problem and lack of transparency is an issue for me. The new google AI BARD is more transparent at the moment. Still a very interesiting tool I will keep using! Gives you more nuanced answers than a search engine. Will it stay free?🤔 https //t.co/5egI6FeUbW,"Miami, FL",Internal Med UM/JMH PGY1🩺 Marathoner x7🏃‍♂️ Future Med Onc🧫 UMiami '22 MD/MPH🌴 UCSB '16 Cell Biology🌊 R coder💻 Sarcoma and Lung Cancer Research🔬FCI🚒,2021-08-29 16:24:07+00:00,348.0,2956,2023-03-25 19:22:17+00:00
"Imagine extension of AI like #ChatGPT-3 in writing an abstract to research journal, completing an assignment, generating a music composition arguing on a random topic on twitter .. possibilities are endless. It can greatly enable humanity if used only in a right way #EthicalAI",United States,"Technologist by Profession.Thought Leader, Love Mathematics,Startups, Public Policy, Foreign Policy,Economics. Views are Personal.",2011-03-14 05:27:05+00:00,34931.0,89331,2022-12-05 20:37:33+00:00
"@ibusolih said no corruption, but #ChatGPT says otherwise. https //t.co/4zlbjYTnpR",Maldives,Cogito Ergo Sum; E Pluribus Unum; Memento Mori,2017-10-27 16:32:49+00:00,492.0,77486,2022-12-12 13:23:07+00:00
"As reported by @FoxBusiness, Companies are restricting the access to #ChatGPT, one by one. That's now the case https //t.co/0sfYPet7kp of #JPMorgan but also #Verizon it can a breach for the #safety/#privacy/#confidentiality as nobody knows what they ask to.
I do 👍
#bots #fintech https //t.co/mNuv4re8o4","41.911138,13.429908",Tech Evangelist.,2010-03-22 01:33:25+00:00,386.0,3549,2023-02-23 01:37:52+00:00
"it's not #ChatGPT we have to worry about it's dumb humans who will ultimately be the biggest problem when it comes to AI

#OpenAI #AGI","Richmond, Virginia",writer,2009-04-23 04:34:59+00:00,4430.0,107649,2023-02-06 16:00:10+00:00
"6 New-age #cybersecurity threats to look out for in 2023  #AutomotiveHacking, #AutomatedCyberattacks, Threat of #ChatGPT &amp; more - https //t.co/UdfpHSR7we | #technews #technology #futuretech #AI #ML #RPA #IoT #IT #Cloud #security",India,"One of India’s oldest, most respected IT publishing brands (part of the Indian Express Group). Covers enterprise tech, e-governance and related topics",2014-06-02 11:36:51+00:00,2512.0,744,2023-02-22 06:16:02+00:00
Interesting release from #Kaspersky on how #hackers are using #ChatGPT to spread #malware on your system😱👇 https //t.co/6pmJFnU4ZF https //t.co/siHfio1E3T,"Sydney, New South Wales",Hi there. APAC Pre Sales Manager at Kaspersky based in Sydney. Nothing I do or say here are official Kaspersky statements!!,2016-06-30 23:57:38+00:00,68.0,142,2023-02-27 20:01:04+00:00
"Like using #ChatGPT? Beware of this fake browser extension which could steal your Facebook, Google accounts.

https //t.co/4a1puOTeQt","New Delhi, India",Technology journalism for humans from Hindustan Times,2015-08-04 09:34:43+00:00,23233.0,831,2023-03-16 10:30:00+00:00
"#ChatGPT tells me the #higgsboson cannot be used to create #warpdrives

Pfft, rules are meant to be broken... There must be a way!

#whereismywarpdrive",Canberra,"Concerned about our future..
MBA Finance
Hiker 👍
Loyal Australian 
🇦🇺🇦🇺🇦🇺",2010-03-29 00:46:51+00:00,590.0,1069,2023-02-06 04:48:13+00:00
@Wikeria_org 2. Limited Memory AI- works on brain neurons. E.g #ChatGPT @AfrispaceV1,"Calabar, Nigeria",Petroleum Engineer • Data Analyst • #SocialMedia & #CommunityManager @GrindEarn @Wikeria_org @diamundlabs #web3,2014-06-02 20:11:34+00:00,299.0,9379,2023-03-17 19:34:09+00:00
@sama Is there a pricing for #ChatGPT in order to get a proper NDA+DLA+GDPR (or even no storage policy) to guarantee we can process sensitive and personal data?,Dans la lune,Le Giordano Bruno de ce siècle. J'espère juste ne pas finir comme Franz Reichelt.,2013-02-07 22:18:16+00:00,60.0,687,2022-12-07 17:34:48+00:00
"Missed 3 whole championships #OpenAI #ChatGPT it’s so naive to compare a beta product to Google, Alexa and Siri got the right answers too https //t.co/d1rL2H7ugT",United States,"Egyptian, Software Engineer, Barca and Liverpool fan and a naive dreamer of justice and freedom",2022-01-02 20:17:51+00:00,59.0,9038,2022-12-05 22:50:54+00:00
This is WILD. It's about #ChatGPT/Bing. Did I say it is wild? It's fucking WILD. Appreciate NYT behind paywall but Googling 'A Conversation With Bing’s Chatbot Left Me Deeply Unsettled' might get you around that. https //t.co/B9oPhr6EFM,London,Business writer/editor with Arsenal weakness. Strong opinions but open to changing them. 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇪🇸,2011-02-13 14:20:55+00:00,365.0,7096,2023-02-16 19:31:45+00:00
